array_include	int:1	ARRAY JMP JMPNOT LOADI_0 LOADI_1 LOADI_2 RETURN SEND STOP
array_first_last	int:4	ADD ARRAY LOADI_1 LOADI_2 LOADI_3 RETURN SEND0 STOP
array_reverse	err:NoMethodError("undefined method `reverse` for Array")	ARRAY LOADI_1 LOADI_2 LOADI_3 RETURN SEND0 STOP
array_flatten	int:2	ARRAY LOADI_1 LOADI_2 RETURN SEND0 STOP
array_uniq	int:2	ARRAY LOADI_1 LOADI_2 RETURN SEND0 STOP
hash_keys_values	int:3	ADD HASH LOADI_1 LOADI_2 LOADSYM RETURN SEND0 STOP
hash_each	int:3	ADD BLOCK ENTER GETUPVAR HASH LOADI_0 LOADI_1 LOADI_2 LOADSYM MOVE RETURN SENDB SETUPVAR STOP
hash_merge	int:2	HASH LOADI_1 LOADI_2 LOADSYM RETURN SEND SEND0 STOP
integer_times	int:3	ADD BLOCK ENTER GETUPVAR LOADI_0 LOADI_3 MOVE RETURN SENDB SETUPVAR STOP
integer_to_s	str:42	LOADI RETURN SEND0 STOP
integer_abs	int:3	LOADINEG RETURN SEND0 STOP
enumerable_each_with_index	int:1	ADD ARRAY BLOCK ENTER GETUPVAR LOADI LOADI_0 MOVE RETURN SENDB SETUPVAR STOP
comparable_between	err:NoMethodError("undefined method `between?` for Integer")	JMP JMPNOT LOADI LOADI_0 LOADI_1 LOADI_5 RETURN SEND STOP
kernel_puts_returns_nil	int:1	JMP JMPNIL LOADI_0 LOADI_1 RETURN SSEND STOP STRING
